SeqName	GC	Length
RegSeq78	0.282565130260521	499
RegSeq79	0.383561643835616	876
RegSeq80	0.321759259259259	864
RegSeq81	0.412948381452318	1143
RegSeq82	0.370883882149047	1154
RegSeq83	0.374339622641509	1325
RegSeq84	0.383838383838384	1287
RegSeq85	0.3125	192
RegSeq86	0.367441860465116	430
RegSeq87	0.365785813630042	719
RegSeq88	0.392370572207084	367
RegSeq89	0.367149758454106	621
RegSeq90	0.4945295404814	457
RegSeq91	0.363874345549738	382
RegSeq92	0.481818181818182	220
RegSeq93	0.340667678300455	1318
RegSeq94	0.358703843255463	1327
RegSeq95	0.353252647503782	1322
RegSeq96	0.348125478194338	1307
RegSeq97	0.372901678657074	834
RegSeq98	0.384892086330935	834
RegSeq99	0.341749323715059	1109
RegSeq100	0.359893758300133	753
RegSeq101	0.298279158699809	523
RegSeq102	0.373239436619718	426
RegSeq103	0.3573264781491	778
RegSeq104	0.330065359477124	1224
RegSeq105	0.356853203568532	1233
RegSeq106	0.348949919224556	1238
RegSeq107	0.3416	1250
RegSeq108	0.380763116057234	1258
RegSeq109	0.299045599151644	943
RegSeq110	0.387922210849539	977
RegSeq111	0.33214709371293	843
RegSeq112	0.375886524822695	846
RegSeq113	0.308924485125858	437
RegSeq114	0.384868421052632	1216
RegSeq115	0.362389023405973	1239
RegSeq116	0.368098159509202	163
RegSeq117	0.41019955654102	451
RegSeq118	0.33206106870229	262
RegSeq119	0.328828828828829	444
RegSeq120	0.331562167906482	941
RegSeq121	0.290657439446367	289
RegSeq122	0.325814536340852	399
RegSeq123	0.461152882205514	399
RegSeq124	0.4	260
RegSeq125	0.297029702970297	101
RegSeq126	0.368813559322034	1475
RegSeq127	0.289156626506024	83
RegSeq128	0.337371854613234	1073
RegSeq129	0.402542372881356	708
RegSeq130	0.354378818737271	491
RegSeq131	0.36	150
RegSeq132	0.279611650485437	515
RegSeq133	0.335863377609108	527
RegSeq134	0.301255230125523	239
RegSeq135	0.324675324675325	77
RegSeq136	0.31496062992126	127
RegSeq137	0.362845849802372	1265
RegSeq138	0.361247947454844	609
RegSeq139	0.261603375527426	237
RegSeq140	0.353010625737898	847
RegSeq141	0.460764587525151	497
RegSeq142	0.333333333333333	231
RegSeq143	0.287410926365796	421
RegSeq144	0.354679802955665	609
RegSeq145	0.378068739770867	611
RegSeq146	0.251336898395722	187
RegSeq147	0.391304347826087	460
RegSeq148	0.272727272727273	275
RegSeq149	0.345211581291759	449
RegSeq150	0.377049180327869	488
RegSeq151	0.382113821138211	123
RegSeq152	0.360153256704981	261
RegSeq153	0.348341232227488	422
RegSeq154	0.317415730337079	712
RegSeq155	0.313084112149533	214
RegSeq156	0.3584229390681	837
RegSeq157	0.357702349869452	383
RegSeq158	0.358649789029536	474
RegSeq159	0.272388059701493	536
RegSeq160	0.291960507757405	709
RegSeq161	0.339055793991416	233
RegSeq162	0.38898756660746	1126
RegSeq163	0.290584415584416	616
RegSeq164	0.321550741163056	877
RegSeq165	0.339080459770115	348
RegSeq166	0.354341736694678	714
RegSeq167	0.482926829268293	205
RegSeq168	0.214285714285714	84
RegSeq169	0.328125	192
RegSeq170	0.357541899441341	179
RegSeq171	0.340956340956341	481
RegSeq172	0.419525065963061	758
RegSeq173	0.380952380952381	84
RegSeq174	0.362559241706161	422
RegSeq175	0.316582914572864	199
RegSeq176	0.338010204081633	784
RegSeq177	0.402397260273973	584
RegSeq178	0.294117647058824	170
RegSeq179	0.366906474820144	139
RegSeq180	0.301449275362319	345
RegSeq181	0.35	340
RegSeq182	0.367107195301028	681
RegSeq183	0.316053511705686	598
RegSeq184	0.359712230215827	139
RegSeq185	0.296116504854369	206
RegSeq186	0.273092369477912	747
RegSeq187	0.381924198250729	1029
RegSeq188	0.306733167082294	401
