GeneName	EarlyExp	EstExp	LateExp	minEarly_gb	maxEarly_gb	meanEarly_gb	minEst_gb	maxEst_gb	meanEst_gb	minLate_gb	maxLate_gb	meanLate_gb	minEarly_prom	maxEarly_prom	meanEarly_prom	minEst_prom	maxEst_prom	meanEst_prom	minLate_prom	maxLate_prom	meanLate_prom	Strand	NoClExp	Cluster(exp)	Color	EarlyP-val	EstP-val	LateP-val
Prex2	-0.3008	-0.7364	-1.5553	0	0.62	0.3849613333	0.428571	0.625	0.5006156667	0.363636	0.434211	0.410093	0	0	0	0	0	0	0	0	0	+	6	AllLow	VeryLightGreen	1	1	0.0006
Cdh26	2.616	2.3098	1.376	0.458647	0.502024	0.4810206667	0.458891	0.489041	0.4760086667	0.517949	0.535969	0.5275573333	0	0	0	0	0	0	0	0	0	+	16	AllVUp	DarkPurple	0.00005	0.0002	0.0065
Lilrb4	1.2234	1.3964	2.3301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	15	AllMildUp	SeaBlue	1	0.00005	0.00185
Tmc7	0.859	2.1136	1.2562	0.307692	0.415094	0.361393	0.428571	0.431818	0.4301945	0.2	0.444444	0.322222	0.307692	0.579137	0.4434145	0.411348	0.428571	0.4199595	0.2	0.596386	0.398193	-	12	EarlyNEstUpLateN	LightBlue	1	0.00005	0.00625
Scn7a	-1.3454	-2.1106	-1.506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	4	AllVLow	Yellow	0.00005	0.00005	0.00005
Kcna6	-0.0081	0.8687	1.8574	0.426667	0.487694	0.4539933333	0.480519	0.554054	0.505565	0.508614	0.643678	0.5643443333	0.447619	0.447619	0.447619	0.480519	0.480519	0.480519	0.540741	0.540741	0.540741	-	10	EarlyNEstNLateUp	Petrol	0.9807	0.0159	0.0001
Spns2	0.1761	0.4294	1.8144	0.454545	0.641026	0.5477855	0.305085	0.347826	0.3264555	0.277778	0.59434	0.436059	0.454545	0.557377	0.505961	0.347826	0.478261	0.4130435	0.277778	0.474576	0.376177	-	10	EarlyNEstNLateUp	Petrol	0.60855	0.1839	0.00005
2610528A11Rik	1.1437	0.9646	2.9211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	15	AllMildUp	SeaBlue	0.1587	0.0744	0.0015
D630003M21Rik	-1.2311	0.1032	-1.7639	0	0.559722	0.279861	0.3219	0.454545	0.3882225	0.604819	0.666667	0.635743	0	0.535088	0.267544	0.342466	0.454545	0.3985055	0.509615	0.666667	0.588141	-	7	EarlyLowEstNLateLow	LightGreen	0.00535	0.8269	0.00005
Ablim3	1.4412	1.6773	1.4691	0	0.516355	0.2581775	0.4	0.437229	0.4186145	0	0.593886	0.296943	0	0.547414	0.273707	0.308824	0.4	0.354412	0	0.573964	0.286982	-	15	AllMildUp	SeaBlue	0.00325	0.0006	0.0024
