GeneName	EarlyExp	EstExp	LateExp	minEarly_gb	maxEarly_gb	meanEarly_gb	minEst_gb	maxEst_gb	meanEst_gb	minLate_gb	maxLate_gb	meanLate_gb	minEarly_prom	maxEarly_prom	meanEarly_prom	minEst_prom	maxEst_prom	meanEst_prom	minLate_prom	maxLate_prom	meanLate_prom	Strand	NoClExp	Cluster(exp)	Color	EarlyP-val	EstP-val	LateP-val
Gpr88	-1.7743	-2.679	-0.8099	0.310345	0.555831	0.455392	0.327586	0.705882	0.495381	0.217391	0.623016	0.4277546667	0.5	0.5	0.5	0.327586	0.327586	0.327586	0.442857	0.442857	0.442857	-	3	EarlyVLowEstVLowLateLow	Orange	0.00005	0.00005	0.0009
H2-K1	1.966	0.5396	2.6308	0.56	0.68	0.62	0.37037	0.462687	0.4165285	0.554054	0.557692	0.555873	0.56	0.625	0.5925	0.258065	0.462687	0.360376	0.542857	0.554054	0.5484555	-	15	AllMildUp	SeaBlue	0.00005	0.0058	0.00005
Igfbp3	0.6093	1.521	1.7094	0.457143	0.5	0.4785715	0.411765	0.454545	0.433155	0.603774	0.636364	0.620069	0.5	0.702703	0.6013515	0.411765	0.545455	0.47861	0.457143	0.636364	0.5467535	-	12	EarlyNEstUpLateN	LightBlue	0.0064	0.00005	0.00005
Gm13889	-1.7869	-1.4784	-1.5142	0.266667	0.47973	0.3731985	0.389744	0.555556	0.47265	0.517241	0.538813	0.528027	0.266667	0.602151	0.434409	0.454545	0.555556	0.5050505	0.338983	0.517241	0.428112	-	4	AllVLow	Yellow	0.00285	0.0037	0.00015
Fbxo2	-1.2633	-1.9264	-0.5808	0.166667	0.846154	0.5067774	0.266667	0.467949	0.4038788	0.235294	0.8	0.5409948	0.166667	0.477124	0.3218955	0.266667	0.354949	0.310808	0.235294	0.614286	0.42479	+	8	EarlyLowEstVLowLateLow	LightGreenUp	0.02305	0.00195	0.0993
Pde9a	-0.524	-1.4517	1.7963	0.465909	0.571429	0.518669	0.473684	0.578125	0.5259045	0.333333	0.573529	0.453431	0.506024	0.571429	0.5387265	0.473684	0.564417	0.5190505	0.333333	0.465686	0.3995095	+	8	EarlyLowEstVLowLateLow	LightGreenUp	0.29015	0.00295	0.0006
Gzmb	-2.8288	-2.0715	-2.8467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	4	AllVLow	Yellow	0.00005	0.00005	0.00005
Ccl2	2.4743	1.8988	3.0899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	16	AllVUp	DarkPurple	0.00005	0.00005	0.00005
0610040J01Rik	-0.6325	-2.0616	-0.6077	0	0.397924	0.198962	0.490476	0.777778	0.634127	0.524887	0.571429	0.548158	0	0.431373	0.2156865	0.38	0.777778	0.578889	0.459459	0.571429	0.515444	+	8	EarlyLowEstVLowLateLow	LightGreenUp	0.2469	0.00005	0.18975

